Num,Rail 1,Rail 2
1309,12.47,
1310,12.47,
1311,12.47,
1312,12.44,
1313,12.44,
1314,12.47,
1315,12.44,
1316,12.44,
1317,12.44,
1318,12.47,
1319,12.47,
1320,12.44,
1321,12.47,
1322,12.5,
1323,12.47,
1324,12.44,
1325,12.44,
1326,12.47,
1327,12.47,
1328,12.47,
1329,12.47,
1330,12.5,
1331,12.47,
1332,12.47,
1333,12.5,
1334,12.5,
1335,12.5,
1336,12.47,
1337,12.47,
1338,12.47,
